sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
LH-0-1L-YB-1_strain,single_bridge,LH-0-1L-YB-1,strain,81.153,80.997,81.106,known_system_gap,0.2661,0.0,0.0,0.0
LH-0-1L-YB-2_strain,single_bridge,LH-0-1L-YB-2,strain,81.172,81.201,81.181,known_system_gap,0.2639,0.0,0.0,0.0
LH-0-1L-LX-4_measureDisplacement,single_bridge,LH-0-1L-LX-4,measureDisplacement,84.04,82.545,83.592,known_system_gap,0.2375,0.0,0.0,0.0
LH-0-1L-LX-3_measureDisplacement,single_bridge,LH-0-1L-LX-3,measureDisplacement,84.021,82.597,83.594,known_system_gap,0.2371,0.0,0.0,0.0
LH-0-1L-LX-2_measureDisplacement,single_bridge,LH-0-1L-LX-2,measureDisplacement,84.079,82.499,83.605,known_system_gap,0.2378,0.0,0.0,0.0
LH-0-1L-LX-1_measureDisplacement,single_bridge,LH-0-1L-LX-1,measureDisplacement,84.079,82.684,83.661,known_system_gap,0.2359,0.0,0.0,0.0
LH-0-1L-LX-4_beamPierRelativeDisplacement,single_bridge,LH-0-1L-LX-4,beamPierRelativeDisplacement,92.703,81.401,89.313,known_system_gap,0.2096,0.0,0.0,0.0
LH-0-1L-LX-2_beamPierRelativeDisplacement,single_bridge,LH-0-1L-LX-2,beamPierRelativeDisplacement,93.444,81.536,89.872,known_system_gap,0.2049,0.0,0.0,0.0
LH-0-1L-LX-3_beamPierRelativeDisplacement,single_bridge,LH-0-1L-LX-3,beamPierRelativeDisplacement,93.527,81.462,89.907,known_system_gap,0.2052,0.0,0.0,0.0
LH-0-1L-LX-1_beamPierRelativeDisplacement,single_bridge,LH-0-1L-LX-1,beamPierRelativeDisplacement,93.546,81.557,89.95,known_system_gap,0.2042,0.0,0.0,0.0
LH-0-0D-QJ-1_temperature,single_bridge,LH-0-0D-QJ-1,temperature,98.01,82.426,93.335,known_system_gap,0.1752,0.0,0.0,0.0
LH-0-0D-QJ-1_yAxisAngle,single_bridge,LH-0-0D-QJ-1,yAxisAngle,98.01,82.426,93.335,known_system_gap,0.1752,0.0,0.0,0.0
LH-0-0D-QJ-1_xAxisAngle,single_bridge,LH-0-0D-QJ-1,xAxisAngle,98.01,82.426,93.335,known_system_gap,0.1752,0.0,0.0,0.0
LH-0-1D-QJ-1_xAxisAngle,single_bridge,LH-0-1D-QJ-1,xAxisAngle,98.205,82.568,93.514,known_system_gap,0.1728,0.0,0.0,0.0
LH-0-1D-QJ-1_temperature,single_bridge,LH-0-1D-QJ-1,temperature,98.205,82.568,93.514,known_system_gap,0.1728,0.0,0.0,0.0
LH-0-1D-QJ-1_yAxisAngle,single_bridge,LH-0-1D-QJ-1,yAxisAngle,98.205,82.568,93.514,known_system_gap,0.1728,0.0,0.0,0.0
LH-0-1L-WSD-1_humidity,single_bridge,LH-0-1L-WSD-1,humidity,98.439,82.62,93.693,known_system_gap,0.1713,0.0,0.0,0.0
LH-0-1L-WSD-1_temperature,single_bridge,LH-0-1L-WSD-1,temperature,98.673,82.478,93.815,known_system_gap,0.1717,0.0,0.0,0.0
LH-0-1L-YB-2_frequency,single_bridge,LH-0-1L-YB-2,frequency,99.649,82.87,94.615,known_system_gap,0.1634,0.0,0.0,0.0
LH-0-1L-YB-2_temperature,single_bridge,LH-0-1L-YB-2,temperature,99.649,82.87,94.615,known_system_gap,0.1634,0.0,0.0,0.0
LH-0-1L-YB-1_frequency,single_bridge,LH-0-1L-YB-1,frequency,99.746,82.676,94.625,known_system_gap,0.165,0.0,0.0,0.0
LH-0-1L-YB-1_temperature,single_bridge,LH-0-1L-YB-1,temperature,99.746,82.676,94.625,known_system_gap,0.165,0.0,0.0,0.0
